126,241,2
719,92,2
909,592,2
666,973,1
495,942,2
390,805,2
692,12,2
853,484,1
893,822,2
905,1009,2
281,242,2
421,681,2
537,889,1
513,12,2
934,729,2
772,996,2
701,872,1
185,504,2
401,459,1
45,405,2
445,836,2
678,290,2
770,189,2
373,106,2
953,621,2
26,195,2
854,225,2
21,10,2
588,864,1
358,906,2
426,578,1
1010,74,2
260,10,2
372,939,1
459,729,1
985,9,2
507,607,2
501,710,1
351,626,2
424,917,1
45,728,2
217,501,2
564,989,1
342,9,2
710,640,2
360,655,1
425,513,1
938,771,2
219,659,2
836,12,2
10,874,2
987,888,2
1010,669,2
593,599,2
404,729,1
677,344,2
1010,804,2
972,405,2
814,728,2
724,18,2
283,800,2
445,868,2
197,855,2
378,197,2
673,463,1
513,480,1
80,681,2
58,533,2
164,485,2
500,265,2
863,200,2
638,648,2
496,536,2
232,797,2
691,956,2
793,917,2
99,215,2
144,214,2
304,124,2
741,55,2
851,316,2
873,44,2
457,201,2
738,119,2
208,139,2
964,503,2
975,238,2
316,405,2
903,388,2
897,566,2
78,582,2
608,471,2
799,758,2
471,945,2
704,728,2
182,937,2
467,484,2
364,710,2
318,714,2
730,833,2
744,863,2
105,618,2
150,667,2
168,588,2
245,575,2
337,554,2
246,479,2
261,430,2
145,409,2
96,382,2
228,349,2
272,341,2
181,284,2
293,308,2
330,269,2
377,264,2
454,264,2
396,136,2
482,110,2
560,102,2
579,140,2
569,214,2
194,196,2
231,121,2
398,404,2
449,387,2
536,381,2
592,391,2
645,356,2
791,332,2
844,286,2
720,136,2
949,60,2
985,153,2
1014,194,2
1003,323,2
770,625,2
680,639,2
499,641,2
542,694,2
471,591,2
551,523,2
604,519,2
655,532,2
699,509,2
765,510,2
808,532,2
886,526,2
490,790,2
569,800,2
635,776,2
350,791,2
325,776,2
186,812,2
279,895,2
69,884,2
40,905,2
45,953,2
222,1004,2
192,973,2
317,1015,2
423,1004,2
645,1008,2
650,910,2
591,930,2
818,855,2
830,795,2
874,764,2
892,674,2
959,859,2
934,896,2
870,952,2
168,714,2
45,127,2
64,218,2
306,578,2
297,620,2
276,653,2
203,883,2
