15,398,2
506,799,2
595,297,1
482,508,2
182,952,1
83,482,1
992,806,2
35,94,1
198,442,1
393,594,1
313,538,2
268,104,1
939,731,1
22,907,1
167,1020,1
976,423,2
334,864,2
486,681,2
307,458,2
269,742,2
540,126,2
221,903,1
978,389,2
293,815,2
359,462,2
845,397,2
894,339,1
968,98,2
955,536,2
832,458,2
1004,274,2
306,5,2
365,560,2
863,297,2
949,182,2
905,128,2
249,659,2
167,117,2
236,130,2
402,489,2
219,715,2
415,629,2
845,346,2
22,621,2
41,536,1
564,216,2
998,356,2
1020,864,2
1020,907,2
693,488,2
759,442,2
568,1000,2
514,851,2
219,754,2
549,949,2
961,454,2
627,367,2
650,450,2
980,217,2
676,411,2
980,668,2
776,369,2
949,13,2
953,625,2
289,618,2
823,294,2
979,43,2
329,403,2
684,529,2
735,351,2
641,586,2
666,341,2
421,397,2
952,505,2
645,277,2
953,258,2
621,510,2
420,338,2
237,1019,2
970,827,2
965,572,2
376,377,2
735,510,2
415,529,2
368,485,2
615,423,2
597,172,2
463,525,2
693,299,2
460,47,2
261,80,2
211,87,2
81,43,2
30,31,2
57,133,2
54,181,2
46,307,2
100,315,2
362,523,2
406,303,2
354,326,2
464,341,2
308,893,2
269,952,2
263,810,2
464,584,2
420,575,2
351,603,2
78,70,2
203,158,2
245,178,2
441,9,2
495,102,2
551,154,2
72,519,1
39,440,2
13,441,2
9,715,2
7,553,2
480,759,2
499,724,2
252,979,2
505,887,2
498,959,2
65,854,1
975,872,2
697,369,2
25,254,2
372,412,1
433,598,1
984,128,2
46,667,2
438,471,1
